trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.5, 'e': 0.9999682933493399}",35,0,-227.0268778840931,"{0: 19, 1: 1, 2: 9, 3: 4, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9957676088732885}",25,0,-117.74850038072161,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.9816175436063844}",20,8,-45.117400730088576,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
160,False,"{'a': 0.5, 'e': 0.9576594803233847}",20,0,-19.52489720824319,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.9241328000731296}",20,0,-203.9069741370781,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
162,False,"{'a': 0.5, 'e': 0.8813724903622346}",20,0,-67.25474745902592,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.8298057980706491}",30,0,-242.59525387786385,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 4}",0
164,False,"{'a': 0.5, 'e': 0.7699479605420695}",25,0,-96.17643691925076,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.7023970575027135}",20,0,-120.40451064056835,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.627828035246386}",35,0,-182.60119874045373,"{0: 21, 1: 4, 2: 5, 3: 3, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.5469859627942356}",25,0,-63.82023287678429,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
168,False,"{'a': 0.5, 'e': 0.46067858741136253}",20,0,16.105546889903945,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.3697682638631698}",20,8,9.940144349641091,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.27516333805159693}",30,18,-9.870433094444051,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.17780907112311564}",25,15,-23.626105058038995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.07867819473184015}",20,0,31.636917074816914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.021238808173646012}",30,13,30.220149206158318,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12094359992847767}",20,3,-28.76756315738914,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.2194399632114593}",25,10,27.829748472191888,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.31574375491924334}",30,10,-50.02171717803831,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.4088927393988798}",20,0,-43.420918158580434,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
